股票代码,股票名称,D-0日期,N1,N2,D-y振幅,D-x振幅,D-y~D-0区间涨幅,D-y~D-0区间振幅,D-0振幅,D+1(低/高),D+2最高价,D+3最高价,D+4最高价,D+5最高价,D+6最高价,D+7最高价,D+8最高价
605117,德业股份,2021-10-29,7,3,12.47,9.7,50.18%,52.65%,11.2,-1%/5%(阴),0%,-4%,-2%,-6%,-7%,-3%,-7%
605299,舒华体育,2026-03-24,3,1,9.97,8.92,27.61%,27.61%,16.03,0%/9%(板),20%,19%(板),29%,32%(板),44%,46%,46%
605358,立昂微,2020-12-10,3,4,12.5,11.87,44.77%,47.27%,12.5,-2%/10%(板),21%(板),32%,18%,27%,28%,24%,19%
000004,未找到标的,2024-03-14,5,5,9.41,12.06,23.36%,31.95%,12.29,-2%/9%(阳),4%,1%,0%,0%,-1%,-1%,-2%
000006,深振业Ａ,2025-10-10,3,1,12.93,9.09,41.64%,44.6%,11.61,3%/9%(板),20%,10%,-1%,5%,8%,10%(板),17%
000007,全新好,2000-03-15,6,1,11.05,12.75,31.12%,32.18%,9.99,-9%/-2%(阴),-4%,-4%,-5%,-10%,-6%,-6%,-5%
000008,神州高铁,1999-06-11,5,2,12.47,12.55,50.72%,53.17%,12.99,-6%/-1%(阴),-2%,1%,3%,-2%,-2%,1%,11%
000009,中国宝安,2000-06-06,6,1,10.93,11.08,42.38%,43.38%,11.38,0%/5%(阳),6%,9%,12%,6%,6%,3%,1%
000011,深物业A,2020-06-12,4,1,12.8,9.17,37.73%,40.5%,13.81,-3%/9%(阴),6%(板),16%(板),27%,14%,13%,10%,7%
000019,深粮控股,2000-02-24,6,3,12.21,17.69,56.51%,58.71%,12.71,0%/9%(阳),13%,12%,13%,7%,2%,-2%,-6%
000032,深桑达Ａ,2000-02-16,7,1,10.83,4.47,53.3%,54.1%,11.12,-10%/8%(阴),-3%,4%,-3%,-14%,-15%,-13%,-10%
000060,中金岭南,2015-06-04,4,1,12.13,9.83,37.94%,42.59%,18.91,0%/7%(阳),2%,-1%,-2%,-3%,-4%,-4%,-8%
000062,深圳华强,2015-10-20,6,5,9.93,7.58,50.81%,50.95%,11.49,-10%/2%(阴),-7%,-7%,-7%,-7%,-9%,-5%(板),3%
000066,中国长城,2007-05-09,4,1,7.41,11.2,51.75%,49.15%,9.94,-10%/7%(阴),-8%,-4%,-7%,-9%,-2%,2%,2%
000066,中国长城,2024-10-29,3,3,0.0,10.62,38.11%,32.95%,12.66,4%/9%(板),20%(板),33%(板),36%,32%,40%(板),54%(板),70%(板)
000088,盐田港,2017-04-11,3,2,10.21,11.1,28.94%,29.33%,13.01,9%/10%(板),21%,14%,6%,5%,0%,0%,-5%
000155,川能动力,2007-10-17,3,1,10.51,10.14,19.5%,24.48%,11.74,-4%/9%(阳),8%,-4%,-7%,-12%,-15%,-22%,-24%
000401,金隅冀东,2015-08-03,3,2,11.27,10.42,21.18%,33.91%,8.5,-7%/9%(阳),18%,14%,12%,13%,16%,10%,6%
000404,长虹华意,2007-05-29,7,5,9.8,13.92,58.19%,58.04%,9.45,-9%/-2%(阴),-13%,-17%,-32%,-38%,-36%,-34%,-33%
000409,云鼎科技,2021-06-10,8,4,11.78,9.93,22.44%,24.22%,11.98,5%/9%(板),6%,8%,1%,-1%,-3%,2%,1%
000416,未找到标的,2009-02-13,4,1,10.25,12.7,63.75%,64.0%,9.92,-9%/10%(板),13%,6%,0%,-11%,-12%,-9%,-6%
000421,南京公用,2022-09-01,3,2,8.94,12.01,23.57%,22.43%,13.37,-6%/3%(阴),4%(板),12%,6%,1%,-4%,-4%,-2%
000520,凤凰航运,2024-04-18,6,1,0.0,11.06,17.57%,20.08%,15.69,-3%/9%(板),10%,-5%,-12%,-8%,-3%,-8%,-8%
000523,红棉股份,2015-08-14,3,3,10.61,5.65,58.82%,59.45%,5.8,0%/9%(板),16%,7%,3%,-7%,-19%,-25%,-27%
000548,湖南投资,2013-09-23,5,3,11.46,12.01,44.16%,45.65%,11.67,-1%/9%(阳),5%,9%,11%,7%,16%,19%,18%
000551,创元科技,2012-12-07,6,1,11.79,12.4,18.78%,29.83%,10.41,3%/10%(板),7%,9%,6%,11%,11%,13%,12%
000559,万向钱潮,2015-08-06,3,1,8.18,8.42,26.34%,26.65%,14.2,0%/6%(阳),14%,16%,11%,16%(板),21%,16%,19%
000563,陕国投A,2006-05-17,5,1,7.83,8.69,49.13%,46.96%,9.78,-10%/1%(阴),-2%,-2%,-4%,-6%,-2%,0%,-2%
000564,供销大集,2000-02-16,4,1,8.55,7.22,37.56%,37.56%,16.27,-6%/9%(阴),-3%,0%,-8%,-14%,-13%,-5%,-5%
000570,苏常柴Ａ,2000-02-28,4,4,8.99,7.29,33.23%,32.22%,9.67,-1%/7%(阴),8%,12%,23%,14%,11%,12%,19%
000583,未找到标的,2000-02-16,4,1,0.0,5.84,56.49%,48.06%,10.79,-9%/10%(阴),-1%(板),0%,-10%,-15%,-15%,-13%,-9%
000592,平潭发展,2015-11-06,6,1,8.92,0.0,24.16%,26.13%,11.25,-6%/-1%(阳),-1%,0%,-3%,-5%,-2%,4%,1%
000595,新能股份,2000-02-28,5,3,7.75,7.68,28.8%,38.43%,12.47,0%/10%(板),15%,7%,6%,4%,-1%,1%,-2%
000595,新能股份,2011-02-09,3,2,11.78,13.0,13.07%,27.72%,11.46,-1%/9%(板),21%(板),26%,25%,18%,23%,18%,14%
000595,新能股份,2022-05-24,6,3,9.56,11.29,38.23%,37.88%,13.04,-4%/10%(板),21%(板),33%(板),46%(板),61%(板),77%(板),95%(板),89%
000595,新能股份,2024-09-20,8,1,9.11,14.89,46.04%,45.08%,12.45,-5%/10%(板),21%(板),33%(板),46%,39%,38%,48%,46%
000602,未找到标的,2010-10-14,3,3,9.75,10.27,46.97%,46.7%,11.09,-4%/4%(阴),7%,12%,12%,12%,10%,19%,19%
000607,华媒控股,2008-05-13,4,5,5.82,9.11,45.57%,41.27%,14.15,-2%/8%(阴),0%,0%,0%,-2%,-5%,-9%,-10%
000618,未找到标的,1999-08-10,3,1,6.09,12.44,40.44%,36.57%,9.33,-6%/-1%(阴),-5%,-9%,-10%,-10%,-10%,-8%,-8%
000623,吉林敖东,2007-05-11,6,1,9.55,6.0,51.57%,51.12%,13.86,-2%/9%(板),11%,1%,-47%,-50%,-51%,-50%,-52%
000639,ST西王,2026-07-16,3,1,12.3,10.42,36.89%,39.34%,10.53,-10%/0%(阴),-9%,-12%,-13%,-15%,-15%,-15%,-8%
000655,金岭矿业,2022-06-07,7,1,0.0,10.25,34.95%,28.96%,11.74,-5%/-2%(阳),7%,-1%,-8%,-11%,-11%,-10%,-13%
000656,金科股份,2015-04-07,7,4,8.56,9.55,76.61%,75.17%,9.65,-2%/8%(阳),7%,9%,7%,2%,-4%,-8%,-8%
000657,中钨高新,2022-05-17,8,1,13.25,10.4,45.72%,49.0%,11.24,-3%/2%(阴),4%,1%,-1%,5%,2%,3%,4%
000662,未找到标的,2019-11-22,6,3,10.49,14.29,34.6%,35.04%,11.13,-9%/2%(阴),1%,0%,6%,10%,2%,4%,2%
000668,荣丰控股,2022-10-21,4,4,11.6,10.9,20.48%,27.26%,6.69,-10%/-2%(阴),-17%,-17%,-16%,-17%,-19%,-19%,-18%
000670,盈方微,2022-10-24,5,1,10.74,9.67,36.32%,37.06%,13.4,-10%/-1%(阴),-3%,-5%,-1%(板),8%,6%,13%,7%
000672,上峰材料,2016-03-21,8,3,10.89,12.29,34.82%,35.71%,17.64,-2%/8%(阳),5%,0%,-1%,0%,3%,1%,0%
000673,未找到标的,2014-04-30,4,4,1.68,9.61,33.04%,41.86%,8.55,-3%/5%(阳),1%,0%,3%,4%,0%,-1%,-3%
000687,未找到标的,2007-04-30,6,5,10.88,7.95,59.56%,60.48%,9.72,0%/7%(阴),-2%,-4%,-2%,-3%,-5%,-4%,-3%
000701,厦门信达,2000-02-16,6,1,12.73,4.23,59.41%,62.16%,9.47,-9%/9%(阴),-4%,-8%,-14%,-21%,-21%,-20%,-17%
000703,恒逸石化,2007-08-21,5,3,10.75,14.9,37.18%,37.95%,9.14,-2%/8%(阳),6%,14%(板),18%,17%,17%,16%,22%
000707,双环科技,2006-05-18,3,1,6.15,14.83,35.83%,34.22%,9.96,0%/9%(阳),-20%,-18%,-20%,-22%,-22%,-26%,-22%
000727,冠捷科技,2012-02-15,6,1,11.87,12.27,36.33%,38.13%,12.34,-4%/-1%(阴),-3%,0%,-3%,-1%,-2%,-3%,0%
000731,四川美丰,2016-11-03,4,1,11.29,11.13,29.06%,30.37%,10.75,-6%/1%(阴),-3%,-4%,-3%,3%,-1%,-5%,-8%
000735,罗 牛 山,2010-02-01,7,1,8.57,13.43,47.35%,45.95%,11.16,6%/10%(板),21%(板),33%,33%(板),31%,27%,21%,28%
000739,普洛药业,2008-05-13,7,2,5.48,8.76,43.97%,40.38%,13.52,-3%/8%(阴),0%,-2%,-3%,-11%,-9%,-8%,-13%
000761,本钢板材,2007-07-30,3,4,8.85,10.52,46.68%,45.52%,8.46,-1%/4%(阴),1%,0%,1%,4%,4%,4%,5%
000788,北大医药,2008-05-12,6,1,4.86,11.67,26.8%,22.66%,14.35,1%/10%(板),21%,27%,24%,24%,20%,10%,6%
000791,甘肃能源,2016-09-07,7,3,8.06,7.75,51.08%,49.11%,11.74,0%/9%(板),15%,4%,0%,-10%,-11%,-9%,-10%
000793,ST华闻,2024-12-16,3,5,8.89,13.42,40.0%,38.89%,16.57,-10%/0%(阴),-9%,-15%,-13%,-18%,-23%,-25%,-26%
000796,凯撒旅业,2011-02-10,7,3,10.85,10.67,30.6%,31.43%,11.36,-4%/-2%(阴),-2%,1%,-1%,-3%,-4%,-5%,-4%
000796,凯撒旅业,2025-07-22,6,2,10.89,9.35,29.46%,30.45%,10.32,-9%/0%(阴),-1%(板),8%,0%,3%,8%(板),8%,5%
000798,中水渔业,2022-04-20,4,1,12.37,12.53,35.13%,37.5%,13.81,-10%/-1%(阴),-12%,-21%,-24%,-24%,-26%,-27%,-25%
000799,酒鬼酒,2021-01-07,3,2,5.75,10.45,53.42%,49.17%,11.03,-4%/4%(阴),4%,10%(板),18%,16%,0%,-7%,-6%
000813,德展健康,2023-09-22,5,1,9.78,11.5,22.71%,22.4%,10.73,5%/10%(板),20%,16%(板),18%,14%,6%,2%,2%
000818,航锦科技,2007-10-17,4,1,9.66,11.58,38.53%,38.18%,15.16,-7%/4%(阴),-1%,-4%,-8%,-10%,-15%,-22%,-21%(板)
000829,天音控股,2015-03-24,6,5,8.58,7.67,59.78%,58.38%,9.97,0%/9%(阴),5%,8%(板),15%,15%,18%,15%,10%
000831,中国稀土,2006-05-12,5,2,9.03,7.0,66.75%,65.8%,8.93,2%/9%(板),6%,-6%,-7%,-10%,-11%,-15%,-11%
000835,未找到标的,2020-06-04,6,3,4.56,12.13,26.24%,30.04%,13.58,0%/9%(阴),-5%,-5%,-6%,-7%,-10%,-10%,-13%
000836,未找到标的,2018-01-30,5,3,9.8,10.83,23.97%,23.75%,11.41,-8%/-2%(阴),-2%,-5%,-3%,-8%,-12%,-12%,-15%
000838,*ST发展,2025-11-06,8,2,10.66,10.0,29.41%,30.15%,13.12,-5%/7%(阴),-4%,-4%,-5%,-6%,-4%,-4%,-4%
000839,国安股份,2019-03-13,6,5,11.11,11.76,74.94%,75.97%,9.59,-10%/1%(阴),-4%,-10%,-4%,-2%,4%(板),4%,-4%
000852,石化机械,2007-05-24,5,5,4.31,10.96,71.96%,66.56%,10.36,-1%/9%(板),19%,14%,10%,5%,4%,-10%,-14%
000878,云南铜业,2009-03-20,8,2,9.05,8.29,47.28%,46.31%,7.06,-1%/10%(阳),7%,11%,17%(板),23%,20%,16%,21%
000886,海南高速,2010-02-03,7,3,8.86,13.49,49.19%,50.66%,13.18,0%/9%(板),13%,7%,-4%,-5%,0%,-3%,-4%
000902,新洋丰,2009-09-04,3,2,11.52,10.27,27.61%,29.13%,12.92,-6%/5%(阳),2%,4%,0%,2%,10%,6%,4%
000917,电广传媒,2006-06-05,7,5,9.61,8.65,26.03%,33.41%,9.72,-4%/5%(阴),-2%,-5%,-5%,-10%,-11%,-14%,-11%
000920,沃顿科技,2011-02-15,7,5,10.16,12.64,47.02%,47.23%,9.75,-1%/1%(阳),3%,2%,2%,-1%,-6%,-6%,-7%
000936,华西股份,2019-03-11,3,3,8.33,12.5,34.92%,35.71%,8.09,-1%/4%(阳),12%,10%,5%,0%,0%,3%,6%
000949,新乡化纤,2015-08-13,3,2,9.23,9.52,31.54%,30.77%,10.77,0%/9%(板),11%,12%,7%,6%,-1%,-7%,-17%
000953,中哲精化,2016-11-09,8,1,8.45,11.47,29.63%,41.24%,12.97,-6%/6%(阴),0%,-3%,-4%,-6%,-6%,-7%,-11%
000959,首钢股份,2014-04-23,5,1,11.31,11.79,33.48%,34.84%,12.31,-3%/3%(阳),0%,-12%,-14%,-10%,-12%,-6%,-7%
000960,锡业股份,2008-11-17,6,3,8.59,6.56,30.47%,40.47%,6.35,-8%/3%(阴),0%(板),5%,0%,0%,-4%,-6%,-2%
000961,ST中南,2007-03-09,3,1,11.93,10.5,41.05%,42.96%,10.43,0%/6%(阳),4%,6%,5%,3%,-2%,0%,-1%
000962,东方钽业,2025-10-27,7,1,14.02,11.27,27.04%,31.06%,9.69,3%/10%(阳),12%,7%,4%,0%,-5%,-3%,0%
000973,佛塑科技,2015-11-30,6,4,11.12,9.96,34.44%,35.51%,9.97,-7%/4%(阴),0%,6%,4%,5%,2%,2%,-2%
000976,未找到标的,2006-05-12,5,4,10.4,0.0,86.63%,87.13%,7.0,-44%/-35%(阳),-36%,-30%(板),-23%,-25%,-26%,-31%,-29%
000980,众泰汽车,2014-09-02,6,1,10.29,6.69,43.05%,43.24%,12.15,-2%/4%(阳),-1%,-2%,-4%,-1%,-1%,4%,1%
000980,众泰汽车,2024-12-16,3,2,11.45,12.11,24.05%,25.57%,11.53,-2%/9%(阴),-1%,-2%,-4%,-8%,-15%,-16%,-19%
000982,中银绒业,2016-11-17,8,3,9.87,11.13,50.82%,50.64%,12.4,-1%/9%(阳),10%(板),5%,0%,-5%,-10%,-15%,-19%
000983,山西焦煤,2021-09-02,5,1,3.98,11.64,41.93%,35.91%,9.16,-6%/3%(阴),2%,10%(板),22%,33%,28%,26%,20%
000995,皇台酒业,2024-09-24,4,2,9.64,11.56,40.6%,40.24%,13.57,-7%/1%(阴),3%(板),13%(板),24%(板),37%,19%,12%,2%
001239,永达股份,2024-07-24,6,1,7.58,0.0,21.55%,19.1%,11.71,-1%/6%(阴),1%,-1%,0%,2%,3%,10%(板),21%(板)
001301,尚太科技,2025-09-15,4,5,10.51,10.76,28.63%,29.14%,7.6,-6%/-2%(阴),4%,0%,-2%,-3%,-4%,-1%,2%
002001,新 和 成,2007-09-14,6,1,11.84,8.31,28.85%,30.72%,13.08,5%/10%(板),19%,17%,18%,18%,12%,13%,18%
002002,ST鸿达,2020-02-18,5,1,10.03,6.85,26.32%,26.32%,7.42,-6%/-2%(阴),3%(板),12%,11%,5%,4%,1%,-6%
002006,精工科技,2012-12-17,6,4,2.06,10.41,29.05%,36.19%,11.23,-3%/4%(阳),6%,8%,2%,8%,8%,6%,11%
002008,大族激光,2026-04-23,5,4,8.36,11.25,60.97%,59.32%,10.66,-3%/2%(阴),3%,7%,2%,0%,0%,8%(板),18%
002026,山东威达,2021-11-17,6,1,9.79,7.54,44.42%,44.2%,9.98,-7%/-1%(阴),-3%,3%,5%,-1%,-1%,3%,11%(板)
002071,未找到标的,2010-03-11,5,2,9.8,9.98,31.24%,31.05%,12.39,-6%/-1%(阴),-4%,-3%,-6%,-4%,-4%,-3%,-7%
002085,万丰奥威,2015-03-24,8,4,10.34,0.0,48.69%,49.03%,11.43,-1%/7%(阳),2%,2%,1%,1%,4%,14%(板),19%
002085,万丰奥威,2015-09-29,6,1,17.64,12.97,66.78%,74.43%,10.62,-4%/7%(阴),9%,4%,0%,-1%,5%,2%,4%
002098,浔兴股份,2015-11-11,6,4,9.98,8.95,24.78%,27.41%,9.65,2%/10%(阳),10%,12%,15%,8%,9%,9%,11%
002111,威海广泰,2022-10-31,6,2,11.02,11.41,21.55%,22.52%,7.23,-7%/-3%(阳),-3%,-1%,-3%,-2%,6%,8%,0%
002113,*ST天润,2010-06-11,5,2,10.0,7.37,33.47%,33.47%,10.67,-6%/2%(阴),-9%,-17%,-18%,-17%,-17%,-14%,-12%
002114,罗平锌电,2015-10-09,7,3,9.73,12.5,40.21%,39.98%,11.36,11%/10%(板),20%(板),33%(板),38%,48%(板),47%,44%,41%
002155,湖南黄金,2008-05-05,6,4,9.97,4.62,24.26%,36.33%,9.76,-2%/3%(阴),-3%,-6%,-5%,-6%,-10%,-4%,0%
002164,宁波东力,2015-05-27,5,2,11.17,8.88,38.2%,39.38%,16.17,0%/7%(阴),4%,4%,14%,17%,10%,9%,6%
002165,红 宝 丽,2008-08-20,7,2,10.5,14.69,47.81%,48.37%,12.31,-8%/-1%(阴),-1%,-6%,-7%(板),2%,0%,-2%,-5%
002165,红 宝 丽,2021-09-15,3,1,10.14,10.09,36.38%,36.58%,12.02,3%/10%(板),21%(板),33%(板),46%,49%,38%,18%,16%
002168,ST惠程,2013-01-24,6,2,10.67,6.55,48.65%,49.36%,1.47,-8%/0%(阴),-10%,-3%,-5%,-9%,-10%,-12%,-10%
002169,智光电气,2008-12-26,5,5,11.67,10.79,45.56%,50.37%,9.94,-9%/-1%(阴),0%,-1%,-4%,-5%,-2%,-6%,-1%(板)
002169,智光电气,2024-10-28,3,4,11.03,10.4,55.89%,56.82%,10.42,1%/8%(阴),-1%,-3%,-6%,-16%,-15%,-15%,-15%
002170,芭田股份,2015-10-09,5,5,11.8,9.37,31.68%,33.42%,10.27,3%/10%(阳),12%,16%,12%,12%,10%,12%,15%
002171,楚江新材,2009-03-20,8,2,8.01,8.76,42.44%,40.41%,8.81,-3%/9%(阳),4%,6%,10%,12%,9%,6%,10%
002172,澳洋健康,2009-02-16,4,4,9.42,9.89,64.88%,64.24%,9.86,0%/10%(阳),6%,-6%,1%,3%,4%,6%,12%
002175,*ST东智,2015-11-19,7,2,9.96,13.02,39.4%,39.35%,10.0,-1%/9%(阳),6%,4%,11%,9%,6%,3%,6%
002192,融捷股份,2010-09-16,4,3,9.99,10.82,37.39%,39.22%,8.65,-9%/0%(阴),-12%,-15%,-12%,-12%,-10%,-12%,-9%
002197,证通电子,2015-11-06,7,1,0.0,11.07,24.22%,27.15%,11.36,0%/10%(板),18%,14%,12%,7%,10%,13%,8%
002202,金风科技,2008-02-21,5,4,5.08,11.47,27.45%,33.18%,6.21,-4%/0%(阴),-1%,-2%,-53%,-49%,-47%,-44%,-46%
002211,ST宏达,2016-07-06,5,2,12.77,10.54,37.94%,40.71%,11.79,-4%/-1%(阴),1%,-1%,-1%,-3%,-2%,-1%,-2%
002212,天融信,2009-04-14,5,2,13.24,9.38,51.33%,54.57%,11.87,-2%/9%(阳),12%,8%,3%,-3%,-5%,-10%,-11%
002213,大为股份,2025-01-07,4,1,10.89,14.59,34.18%,35.02%,13.29,-10%/0%(阴),-1%,-3%,-14%,-9%,-8%,-11%,-10%
002222,福晶科技,2026-04-03,3,3,8.93,7.71,28.12%,27.05%,7.52,-2%/6%(阳),7%,10%,15%,16%,15%,14%,16%
002229,鸿博股份,2018-09-25,8,1,0.0,3.06,33.05%,32.38%,9.62,-4%/1%(阴),-2%,-7%,-8%,-10%,-8%,-12%,-15%
002234,民和股份,2016-03-04,8,4,14.99,11.78,68.6%,73.57%,9.07,-4%/2%(阴),-1%,-9%,-9%,-10%,-7%,-12%,-16%
002234,民和股份,2017-07-18,7,2,10.13,12.89,33.68%,33.84%,9.39,-2%/3%(阳),3%,5%,6%,1%,4%,4%,9%
002240,盛新锂能,2026-04-30,8,3,7.04,10.63,47.35%,44.38%,8.84,-1%/5%(阳),3%,3%,-2%,-3%,-5%,-9%,-11%
002246,北化股份,2022-03-11,3,4,8.7,6.83,36.47%,35.14%,11.68,5%/9%(板),20%(板),33%(板),46%(板),44%,43%,34%,22%
002252,上海莱士,2013-12-19,5,3,10.42,11.12,56.12%,56.53%,12.01,-4%/6%(阴),4%,7%,4%,3%,-2%,-8%,-10%
002265,建设工业,2016-03-02,5,2,11.57,16.29,23.5%,32.51%,17.47,-4%/3%(阴),-2%,-8%,-11%,-15%,-17%,-22%,-19%
002268,电科网安,2010-06-07,7,2,13.26,11.57,47.97%,51.21%,12.59,-8%/1%(阴),-1%,-2%,-2%,-4%,-10%,-11%,-7%
002274,华昌化工,2019-04-24,6,1,10.78,8.16,41.98%,45.52%,18.04,-10%/0%(阴),-8%,-18%,-24%,-29%,-28%,-28%,-30%
002278,神开股份,2015-10-26,4,1,8.53,7.58,47.16%,45.65%,11.42,-3%/8%(阳),6%,4%,3%,-4%,-8%,-1%(板),4%
002279,久其软件,2015-10-23,4,5,6.22,10.96,47.59%,43.82%,13.4,-1%/7%(阳),6%,5%,3%,4%,2%,-4%,0%(板)
002287,奇正藏药,2016-11-17,4,1,9.97,10.21,34.53%,34.51%,12.69,2%/10%(板),21%(板),29%,7%,1%,0%,-1%,-4%
002302,西部建设,2019-03-20,4,1,10.28,10.02,41.39%,41.66%,11.09,1%/10%(阳),7%,1%,-2%,0%,-2%,-6%,-1%
002307,北新路桥,2017-04-27,4,1,9.36,14.93,27.5%,29.0%,13.52,-5%/1%(阴),8%(板),19%,20%,17%,16%,13%,19%
002308,*ST威创,2022-02-23,4,1,11.98,10.6,37.16%,39.12%,14.31,-9%/-4%(阴),-11%,-16%,-17%,-14%,-14%,-12%,-8%(板)
002312,川发龙蟒,2021-09-13,6,3,11.83,11.69,35.43%,37.25%,9.44,1%/9%(阴),7%,6%,1%,0%,0%,-7%,-10%
002338,奥普光电,2015-05-27,8,1,9.96,14.0,57.32%,57.27%,11.71,-6%/9%(阴),2%,9%,17%(板),23%,20%,19%,10%
002338,奥普光电,2022-08-04,4,5,11.2,10.63,41.55%,42.74%,13.26,-7%/0%(阴),-4%,-3%,6%,5%,10%,1%,-4%
002340,格林美,2021-01-04,6,1,8.35,8.08,36.59%,34.99%,7.87,1%/7%(阴),8%,11%,18%(板),30%,23%,20%,14%
002343,慈文传媒,2024-03-22,6,1,11.67,6.13,32.85%,34.58%,13.37,-7%/7%(阴),-2%,-2%,-2%,-4%,-5%,0%,-5%
002351,漫步者,2021-02-19,7,1,9.36,11.03,26.07%,29.75%,8.7,-2%/6%(阴),8%,12%,11%,9%,10%,9%,13%
002351,漫步者,2023-03-22,4,2,9.66,9.91,35.95%,35.56%,10.83,-5%/2%(阳),7%,16%(板),14%,9%,3%,3%,11%
002355,兴民智通,2022-06-23,4,2,10.88,11.04,35.42%,36.34%,13.35,3%/10%(板),21%(板),33%(板),46%(板),61%(板),61%,30%,21%
002363,隆基机械,2022-06-27,3,5,0.0,10.99,29.52%,25.0%,8.63,-5%/2%(阴),-7%,-9%,-12%,-12%,-14%,-15%,-12%
002365,永安药业,2022-04-29,7,2,0.0,11.81,25.63%,22.08%,13.14,-2%/10%(板),21%(板),33%(板),45%,31%,13%,12%,6%
002379,宏桥控股,2011-12-14,5,4,9.64,11.89,21.0%,24.87%,10.56,-3%/5%(阴),6%(板),17%,15%,12%,13%,10%,12%
002388,新亚制程,2019-07-17,8,4,10.1,10.03,27.4%,30.13%,14.11,-5%/-2%(阴),-5%,-9%,-11%,-5%(板),-1%,-2%,2%
002401,中远海科,2015-05-27,8,1,11.44,14.87,44.07%,45.51%,11.87,-9%/0%(阴),-5%,1%,11%,9%,8%,6%,1%
002406,远东传动,2025-03-19,8,4,9.5,9.49,23.83%,29.06%,12.73,6%/10%(板),21%(板),17%,5%,-3%,-6%,-8%,-13%
002416,爱施德,2020-08-07,4,1,12.18,10.19,51.62%,53.83%,10.94,-10%/3%(阴),-12%,-14%,-13%,-14%,-14%,-14%,-15%
002423,中粮资本,2012-10-10,3,1,14.57,10.62,33.33%,37.9%,11.1,-10%/0%(阴),-10%,-12%,-7%,-9%,-14%,-10%,-16%
002428,云南锗业,2012-01-19,4,1,10.61,10.21,26.37%,26.97%,11.68,-3%/1%(阴),-2%,-4%,-4%,-3%,-3%,-3%,-6%
002432,九安医疗,2013-05-30,7,2,10.94,11.01,62.36%,63.35%,11.12,-34%/-27%(阳),-27%,-32%,-37%,-38%,-38%,-35%,-29%
002466,天齐锂业,2020-11-24,8,1,10.07,11.81,14.24%,29.45%,8.25,-3%/3%(阴),0%,-1%,4%,-1%,-3%,-5%,1%
002482,广田集团,2015-06-03,8,1,10.72,8.36,47.89%,48.6%,11.39,-5%/10%(阳),9%,7%,0%,1%,1%,7%,3%
002486,嘉麟杰,2013-08-13,5,2,11.05,12.83,40.51%,41.64%,12.2,-4%/0%(阴),-3%,-2%,-6%,-6%,0%,-1%,5%(板)
002497,雅化集团,2020-02-10,8,3,9.68,8.42,12.49%,27.26%,10.99,-5%/0%(阴),6%,14%,12%,8%,8%,8%,-1%
002516,旷达科技,2015-10-13,5,1,9.9,11.07,35.98%,35.98%,12.21,-2%/8%(阳),4%,3%,3%,6%,4%,-2%,-1%
002516,旷达科技,2021-08-12,6,5,10.12,11.23,31.38%,31.58%,10.17,-1%/3%(阳),2%,-1%,-5%,-4%,-7%,-6%,-2%
002520,日发精机,2013-12-26,6,2,10.01,9.64,31.8%,31.8%,11.71,-2%/4%(阳),6%,-1%,1%(板),3%,0%,8%,13%
002521,齐峰新材,2016-06-30,7,3,11.2,11.25,32.1%,33.26%,13.08,-5%/0%(阴),-3%,-2%,-6%,-6%,-6%,-5%,-7%
002530,金财互联,2019-03-12,5,4,10.1,12.17,51.3%,51.42%,11.11,-4%/5%(阴),-5%,-6%,-6%,-5%,-6%,-6%,-6%
002567,唐人神,2019-04-17,7,2,9.13,12.93,17.95%,20.0%,12.06,-3%/5%(阳),3%,12%(板),19%,17%,21%,11%,6%
002582,好想你,2024-11-28,5,1,6.77,10.79,33.5%,33.99%,12.65,-2%/8%(阳),14%,5%,1%,-3%,-4%,2%,5%
002590,万安科技,2015-11-20,3,3,9.94,13.83,29.97%,29.89%,8.93,-2%/9%(阳),12%,21%(板),33%,28%,35%(板),35%,19%
002603,以岭药业,2020-03-25,4,1,0.0,9.77,44.24%,34.21%,10.02,3%/9%(阳),7%,13%,8%,4%,-3%,3%,5%
002606,大连电瓷,2011-09-23,5,2,19.2,12.06,33.42%,42.64%,14.26,-2%/6%(阳),1%,5%(板),6%,5%,-1%,7%,15%(板)
002606,大连电瓷,2012-11-02,3,3,12.21,10.77,30.53%,32.72%,11.67,0%/10%(阳),4%,10%(板),17%,7%,4%,0%,-5%
002618,丹邦退,2013-07-26,5,2,10.39,11.76,60.15%,60.54%,12.06,-9%/3%(阴),-7%,-9%,-6%,-2%,-3%,1%,-1%
002619,*ST艾格,2016-04-27,3,1,3.37,8.25,30.37%,37.11%,14.77,-9%/0%(阳),-1%,6%,-58%,-60%,-60%,-61%,-62%
002634,*ST棒杰,2016-04-01,6,1,8.07,9.74,44.26%,42.33%,12.24,-3%/3%(阳),10%(板),17%,17%,16%,15%,8%,4%
002645,华宏科技,2012-06-15,6,3,10.62,11.5,35.84%,36.44%,8.6,1%/6%(阳),1%,3%,-2%,-2%,-7%,-6%,-5%
002655,共达电声,2019-10-22,6,4,9.24,13.86,35.83%,39.15%,8.58,-7%/9%(阴),0%,-5%,0%,2%,3%,4%,6%
002656,摩登大道,2015-08-11,6,1,19.39,9.84,48.37%,57.76%,12.28,-7%/-1%(阴),-8%,-6%,-9%,-10%,-19%,-17%,-23%
002668,TCL智家,2024-05-13,8,5,12.66,10.07,32.87%,35.53%,12.6,-1%/4%(阳),5%,-1%,-6%,-8%,-6%,-9%,-15%
